step,telescope_perplexity,telescope_cross_perplexity,causal_perplexity,performer_model_entropy,observer_model_entropy,entropy_ratio,kl_divergence,performer_total_variation_distance,observer_total_variation_distance,performer_distribution_overlap,observer_distribution_overlap,performer_logits_std,observer_logits_std,shifted1_telescope_perplexity,shifted1_telescope_cross_perplexity,shifted2_telescope_perplexity,shifted2_telescope_cross_perplexity,shifted3_telescope_perplexity,shifted3_telescope_cross_perplexity
100.0,[9.90625],[3.4296875],4.0,,,,,0.7888779640197754,0.7888779640197754,0.2109990119934082,0.2109990119934082,0.0022144317626953125,0.0022144317626953125,414.25,,inf,,inf,
200.0,[10.2421875],[2.859375],3.05078125,,,,,0.6935797929763794,0.6935797929763794,0.3066634237766266,0.3066634237766266,0.002521514892578125,0.002521514892578125,inf,,inf,,inf,
300.0,[10.203125],[3.091796875],2.873046875,,,,,0.7205459475517273,0.7205459475517273,0.2794540226459503,0.2794540226459503,0.0023822784423828125,0.0023822784423828125,439.5,,inf,,inf,
500.0,[9.4921875],[3.91015625],4.3515625,,,,,0.8433734774589539,0.8433734774589539,0.15690888464450836,0.15690888464450836,0.00183868408203125,0.00183868408203125,250.0,,inf,,inf,
600.0,[8.828125],[3.3203125],3.642578125,,,,,0.7512755393981934,0.7512755393981934,0.2484056055545807,0.2484056055545807,0.0022411346435546875,0.0022411346435546875,608.0,,inf,,inf,
700.0,[8.7890625],[2.57421875],2.759765625,,,,,0.6416051387786865,0.6416051387786865,0.3583948314189911,0.3583948314189911,0.00269317626953125,0.00269317626953125,644.0,,inf,,inf,
800.0,[11.8671875],[2.76171875],3.03515625,,,,,0.6488259434700012,0.6488259434700012,0.3513466715812683,0.3513466715812683,0.0027599334716796875,0.0027599334716796875,457.25,,inf,,inf,
1000.0,[10.25],[3.849609375],3.830078125,,,,,0.8227272629737854,0.8227272629737854,0.177651509642601,0.177651509642601,0.001934051513671875,0.001934051513671875,528.0,,inf,,inf,
1100.0,[9.9296875],[3.208984375],3.390625,,,,,0.734375,0.734375,0.26548030972480774,0.26548030972480774,0.00238037109375,0.00238037109375,634.0,,inf,,inf,
1300.0,[11.2109375],[2.94921875],2.94921875,,,,,0.6987804770469666,0.6987804770469666,0.3013719618320465,0.3013719618320465,0.00246429443359375,0.00246429443359375,518.5,,inf,,inf,
